service_id,date,exception_type
4,20251013,1
1,20251013,2
401,20251014,1
6701,20251014,1
501,20251014,1
4501,20251014,1
7001,20251014,1
401,20251015,1
6701,20251015,1
501,20251015,1
4401,20251015,1
7001,20251015,1
401,20251016,1
6701,20251016,1
501,20251016,1
4401,20251016,1
7001,20251016,1
401,20251017,1
6701,20251017,1
501,20251017,1
4501,20251017,1
401,20251020,1
6701,20251020,1
501,20251020,1
4401,20251020,1
401,20251021,1
6701,20251021,1
501,20251021,1
4501,20251021,1
7001,20251021,1
401,20251022,1
6701,20251022,1
501,20251022,1
4401,20251022,1
7001,20251022,1
401,20251023,1
6701,20251023,1
501,20251023,1
4401,20251023,1
7001,20251023,1
401,20251024,1
6701,20251024,1
501,20251024,1
4501,20251024,1
401,20251027,1
6701,20251027,1
501,20251027,1
4401,20251027,1
401,20251028,1
6701,20251028,1
501,20251028,1
4501,20251028,1
7001,20251028,1
401,20251029,1
6701,20251029,1
501,20251029,1
4401,20251029,1
7001,20251029,1
401,20251030,1
6701,20251030,1
501,20251030,1
4401,20251030,1
7001,20251030,1
401,20251031,1
6701,20251031,1
501,20251031,1
4501,20251031,1
401,20251103,1
6701,20251103,1
501,20251103,1
4401,20251103,1
401,20251104,1
6701,20251104,1
501,20251104,1
4501,20251104,1
7001,20251104,1
401,20251105,1
6701,20251105,1
501,20251105,1
4401,20251105,1
7001,20251105,1
401,20251106,1
6701,20251106,1
501,20251106,1
4401,20251106,1
7001,20251106,1
401,20251107,1
6701,20251107,1
501,20251107,1
4501,20251107,1
401,20251110,1
6701,20251110,1
501,20251110,1
4401,20251110,1
401,20251111,1
6701,20251111,1
501,20251111,1
4501,20251111,1
7001,20251111,1
401,20251112,1
6701,20251112,1
501,20251112,1
4401,20251112,1
7001,20251112,1
401,20251113,1
6701,20251113,1
501,20251113,1
4401,20251113,1
7001,20251113,1
401,20251114,1
6701,20251114,1
501,20251114,1
4501,20251114,1
